model	objective	gene	status	value
iUL909.xml	obj	G_OGAPODRAFT_15154	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15166	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15169	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15178	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15185	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15189	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15190	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15195	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15199	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15208	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15212	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15214	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15216	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15223	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_15228	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15232	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15233	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15250	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15252	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15255	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15256	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15259	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15277	optimal	0.970034
iUL909.xml	obj	G_OGAPODRAFT_15283	optimal	0.804541
iUL909.xml	obj	G_OGAPODRAFT_15287	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15294	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15295	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15301	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15319	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15336	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15342	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15343	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15348	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15353	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15360	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15369	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15371	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15374	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15376	optimal	0.336832
iUL909.xml	obj	G_OGAPODRAFT_15378	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15386	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15387	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15396	optimal	0.19181
iUL909.xml	obj	G_OGAPODRAFT_15413	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15427	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15430	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15448	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15453	optimal	1.112498
iUL909.xml	obj	G_OGAPODRAFT_15454	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15456	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15457	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15468	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15471	optimal	1.108485
iUL909.xml	obj	G_OGAPODRAFT_15472	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15480	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15495	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15502	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15513	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15514	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15517	optimal	1.089528
iUL909.xml	obj	G_OGAPODRAFT_15529	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15531	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15533	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15536	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15538	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15544	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15549	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15555	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15567	optimal	1.115529
iUL909.xml	obj	G_OGAPODRAFT_15568	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15583	optimal	0.805031
iUL909.xml	obj	G_OGAPODRAFT_15589	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15592	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15598	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15607	optimal	0.805031
iUL909.xml	obj	G_OGAPODRAFT_15610	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15611	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15618	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15624	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15634	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15635	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15639	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15646	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15662	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15664	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15665	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15670	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15675	optimal	1.116836
iUL909.xml	obj	G_OGAPODRAFT_15686	optimal	0.0
iUL909.xml	obj	G_OGAPODRAFT_15687	optimal	1.116836
